login,1317454263,2004337,154299,008.gat,53,51,187.78.65.16,92,7559086,0
logout,1317456741,2007317,158411,005-1.gat,58,53,187.78.65.16,255,617932,80
login,1317456763,2003035,152775,008-1.gat,41,89,187.78.65.16,99,53606492,0
logout,1317457093,2004337,154299,008.gat,122,49,187.78.65.16,92,7688417,0
login,1317457146,2007317,158411,005-1.gat,30,74,187.78.65.16,255,617932,80
logout,1317459701,2003035,152775,005-1.gat,37,58,187.78.65.16,99,53731433,0
login,1317459745,2003035,152775,005-1.gat,30,74,187.78.65.16,99,53731433,0
logout,1317459958,2007317,158411,005-1.gat,57,69,187.78.65.16,255,1514566,80
login,1317459997,2004337,154299,008.gat,122,49,187.78.65.16,92,7688417,0
logout,1317460073,2003035,152775,008.gat,120,49,187.78.65.16,99,53731433,0
